,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,year,Player1,Player2,Won,RankDiff,PtsDiff,OddsDiff,MaxOddsDiff,WeightedRndDiff,RoundDiff
47051,1,Brisbane,Brisbane International,2017-01-06 00:00:00,ATP250,Outdoor,Hard,Quarterfinals,3,Raonic M.,Nadal R.,3,9,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,,,,,,,,,2.37,1.53,,,2.35,1.45,2.31,1.7,5450,3300,,,2.5,1.53,,,2.6,1.7,2.4,1.56,2017,Raonic M.,Nadal R.,1,6,2150,0.8399999999999999,0.9000000000000001,0,0
47052,1,Brisbane,Brisbane International,2017-01-07 00:00:00,ATP250,Outdoor,Hard,Semifinals,3,Nishikori K.,Wawrinka S.,5,4,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.61,2.25,,,1.62,2.05,1.61,2.52,4905,5315,,,1.62,2.25,,,1.75,2.6,1.61,2.3,2017,Wawrinka S.,Nishikori K.,0,1,410,0.6899999999999997,0.8500000000000001,0,0
47053,1,Brisbane,Brisbane International,2017-01-07 00:00:00,ATP250,Outdoor,Hard,Semifinals,3,Dimitrov G.,Raonic M.,17,3,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2.75,1.44,,,2.4,1.45,2.99,1.46,2035,5450,,,2.75,1.44,,,3.0,1.5,2.7,1.45,2017,Dimitrov G.,Raonic M.,1,-14,-3415,1.2500000000000002,1.5,0,0
47054,1,Brisbane,Brisbane International,2017-01-08 00:00:00,ATP250,Outdoor,Hard,The Final,3,Dimitrov G.,Nishikori K.,17,5,6.0,2.0,2.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,,,,,,,,,2.75,1.44,,,2.5,1.42,2.74,1.53,2035,4905,,,2.75,1.44,,,2.85,1.55,2.65,1.48,2017,Nishikori K.,Dimitrov G.,0,12,2870,-1.17,-1.3,0,0
47055,2,Chennai,Chennai Open,2017-01-02 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Darcis S.,Mektic N.,86,331,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.22,4.0,,,1.22,3.5,1.26,4.25,658,144,,,1.22,4.33,,,1.26,4.33,1.23,4.06,2017,Mektic N.,Darcis S.,0,-245,-514,2.8299999999999996,3.0700000000000003,0,0
47056,2,Chennai,Chennai Open,2017-01-02 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Dzumhur D.,96,77,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2.0,1.72,,,1.95,1.68,2.1,1.81,616,699,,,2.0,1.73,,,2.1,1.83,2.02,1.77,2017,Sela D.,Dzumhur D.,1,-19,-83,0.25,0.27,0,0
47057,2,Chennai,Chennai Open,2017-01-02 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Monteiro T.,99,82,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.18,4.5,,,1.17,4.0,1.25,4.36,611,674,,,1.18,4.33,,,1.25,4.7,1.21,4.3,2017,Medvedev D.,Monteiro T.,1,-17,-63,-3.09,-3.45,0,0
47058,2,Chennai,Chennai Open,2017-01-02 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Kovalik J.,Elias G.,117,81,6.0,7.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,,,,,,,,,1.44,2.62,,,1.45,2.4,1.57,2.55,501,675,,,1.48,2.5,,,1.57,2.75,1.5,2.55,2017,Kovalik J.,Elias G.,1,-36,-174,-1.0499999999999998,-1.18,0,0
47059,2,Chennai,Chennai Open,2017-01-02 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Coric B.,104,48,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.66,2.1,,,1.68,1.95,1.79,2.12,571,945,,,1.8,2.0,,,1.83,2.14,1.74,2.06,2017,Coric B.,Chung H.,0,56,374,0.32000000000000006,0.31000000000000005,0,0
47060,2,Chennai,Chennai Open,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Olivo R.,Ruud C.,83,225,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.8,1.9,,,1.82,1.82,1.94,1.94,670,231,,,1.91,1.91,,,1.94,2.0,1.85,1.92,2017,Ruud C.,Olivo R.,0,-142,-439,0.06999999999999984,0.06000000000000005,0,0
47061,2,Chennai,Chennai Open,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Garcia-Lopez G.,101,70,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.66,2.1,,,1.68,1.95,1.74,2.2,592,725,,,1.67,2.1,,,1.74,2.25,1.69,2.13,2017,Garcia-Lopez G.,Bedene A.,0,31,133,0.43999999999999995,0.51,0,0
47062,2,Chennai,Chennai Open,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Albot R.,64,97,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.25,3.75,,,1.22,3.5,1.29,3.9,754,614,,,1.29,3.5,,,1.31,4.0,1.26,3.68,2017,Lu Y.H.,Albot R.,1,33,140,-2.42,-2.69,0,0
47063,2,Chennai,Chennai Open,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Paire B.,Kravchuk K.,47,85,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.5,2.5,,,1.42,2.4,1.53,2.67,960,660,,,1.5,2.62,,,1.54,2.67,1.5,2.54,2017,Kravchuk K.,Paire B.,0,-38,-300,1.04,1.13,0,0
47064,2,Chennai,Chennai Open,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Bhambri Y.,Ramanathan R.,474,227,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.4,2.75,,,1.4,2.6,1.43,3.02,83,231,,,1.44,2.75,,,1.5,3.02,1.44,2.75,2017,Ramanathan R.,Bhambri Y.,0,247,148,1.31,1.52,0,0
47065,2,Chennai,Chennai Open,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Dutra Silva R.,Lajovic D.,440,93,7.0,6.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,,,,,,,,,3.0,1.36,,,2.7,1.35,3.1,1.41,92,627,,,2.75,1.4,,,3.1,1.42,2.97,1.38,2017,Dutra Silva R.,Lajovic D.,1,-347,-535,1.5900000000000003,1.6800000000000002,0,0
47066,2,Chennai,Chennai Open,2017-01-03 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Youzhny M.,Myneni S.,57,192,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.44,2.62,,,1.38,2.6,1.41,3.14,826,287,,,1.44,2.75,,,1.45,3.2,1.4,2.87,2017,Myneni S.,Youzhny M.,0,-135,-539,1.4700000000000002,1.7500000000000002,0,0
47067,2,Chennai,Chennai Open,2017-01-04 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Lu Y.H.,99,64,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2.5,1.5,,,2.25,1.52,2.44,1.63,611,754,,,2.25,1.57,,,2.5,1.63,2.37,1.57,2017,Medvedev D.,Lu Y.H.,1,-35,-143,0.8,0.8700000000000001,0,0
47068,2,Chennai,Chennai Open,2017-01-04 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Ramos-Vinolas A.,Darcis S.,27,86,6.0,2.0,6.0,0.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.72,2.0,,,1.75,1.88,1.91,2.0,1435,658,,,1.8,1.91,,,1.91,2.04,1.82,1.95,2017,Darcis S.,Ramos-Vinolas A.,0,-59,-777,0.1299999999999999,0.13000000000000012,0,0
47069,2,Chennai,Chennai Open,2017-01-04 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Kovalik J.,Cilic M.,117,6,7.0,6.0,5.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,,,,,,,,,7.0,1.1,,,5.5,1.08,8.67,1.1,501,3650,,,6.5,1.1,,,8.67,1.11,6.9,1.09,2017,Kovalik J.,Cilic M.,1,-111,-3149,5.8100000000000005,7.56,0,0
47070,2,Chennai,Chennai Open,2017-01-04 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Sela D.,Chung H.,96,104,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2.62,1.44,,,2.4,1.45,2.95,1.46,616,571,,,2.75,1.44,,,2.95,1.5,2.72,1.44,2017,Chung H.,Sela D.,0,-8,-45,-1.2800000000000002,-1.4500000000000002,0,0
47071,2,Chennai,Chennai Open,2017-01-05 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Youzhny M.,Olivo R.,57,83,6.0,1.0,7.0,5.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.28,3.5,,,1.3,3.0,1.35,3.51,826,670,,,1.3,3.4,,,1.36,3.51,1.32,3.36,2017,Youzhny M.,Olivo R.,1,26,156,-2.04,-2.1499999999999995,0,0
47072,2,Chennai,Chennai Open,2017-01-05 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Dutra Silva R.,14,440,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.11,6.5,,,1.1,5.1,1.13,7.04,2350,92,,,1.11,6.0,,,1.14,7.04,1.12,6.17,2017,Bautista Agut R.,Dutra Silva R.,1,426,2258,-5.05,-5.9,0,0
47073,2,Chennai,Chennai Open,2017-01-05 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Paire B.,Bhambri Y.,47,474,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,,,,,1.44,2.62,,,1.42,2.5,1.53,2.68,960,83,,,1.5,2.5,,,1.53,2.75,1.48,2.6,2017,Bhambri Y.,Paire B.,0,-427,-877,1.12,1.22,0,0
47074,2,Chennai,Chennai Open,2017-01-05 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Bedene A.,Klizan M.,101,35,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,,,,,,,,,1.57,2.25,,,1.55,2.15,1.59,2.52,592,1230,,,1.57,2.25,,,1.62,2.52,1.58,2.34,2017,Bedene A.,Klizan M.,1,-66,-638,-0.7599999999999998,-0.8999999999999999,0,0
